,1,2,3,4,5,6,7,8,9,10,11,12
0,1.05,0.97,1.03,1.06,1.02,1.03,0.8,0.7,0.78,1,1.01,1
1,1.1,1.03,1.09,1.12,1.12,1.12,0.88,0.83,0.9,1.08,1.11,1.05
2,1.16,1.08,1.15,1.22,1.23,1.26,0.99,0.95,1.03,1.17,1.16,1.12
3,1.18,1.1,1.26,1.25,1.27,1.36,1.03,0.98,1.09,1.25,1.19,1.16
4,1.19,1.13,1.29,1.29,1.31,1.39,1.04,0.98,1.08,1.25,1.22,1.2
5,1.18,1.13,1.27,1.31,1.32,1.41,1.08,1.01,1.05,1.25,1.25,1.24
6,1.16,1.14,1.23,1.27,1.31,1.38,1.11,1.02,1.01,1.25,1.24,1.25
7,1.17,1.17,1.21,1.24,1.27,1.33,1.12,1.03,0.98,1.23,1.2,1.26
8,1.16,1.16,1.21,1.25,1.22,1.28,1.1,1.04,0.98,1.21,1.16,1.24
9,1.14,1.17,1.21,1.27,1.17,1.24,1.08,1.03,0.96,1.14,1.11,1.22
10,1.13,1.16,1.2,1.23,1.14,1.2,1.05,1.02,0.95,1.11,1.09,1.21
11,1.12,1.13,1.17,1.21,1.13,1.18,1.03,1.01,0.95,1.06,1.09,1.2
12,1.12,1.1,1.14,1.21,1.11,1.14,1.01,1,0.94,1.04,1.08,1.18
13,1.12,1.08,1.12,1.18,1.02,1.04,0.89,0.96,0.91,1.01,1.07,1.19
14,1.13,1.06,1.08,1.05,0.89,0.94,0.74,0.76,0.76,0.98,1.06,1.2
15,1.09,0.93,0.96,0.97,0.87,0.92,0.73,0.69,0.65,0.83,0.99,1.13
16,0.95,0.82,0.93,0.95,0.87,0.87,0.67,0.65,0.63,0.75,0.86,0.99
17,0.85,0.83,0.89,0.92,0.85,0.82,0.62,0.6,0.61,0.73,0.83,0.93
18,0.79,0.82,0.87,0.9,0.85,0.8,0.59,0.56,0.6,0.72,0.82,0.91
19,0.76,0.8,0.85,0.91,0.85,0.82,0.61,0.55,0.61,0.73,0.82,0.89
20,0.75,0.81,0.84,0.93,0.87,0.84,0.65,0.56,0.63,0.74,0.82,0.87
21,0.75,0.82,0.84,0.95,0.9,0.87,0.68,0.59,0.66,0.76,0.82,0.87
22,0.76,0.82,0.85,0.95,0.94,0.89,0.71,0.61,0.69,0.79,0.83,0.89
23,0.8,0.82,0.85,0.94,0.97,0.89,0.75,0.64,0.72,0.83,0.88,0.94